town,date,accumulated_tested,accumulated_cases,lag7_accumulated_tested,lag7_accumulated_cases,town_code,n_2019,P,N,lag7_N,G,score
ירושלים,2020-04-13,10110,1854,5170,1017,3000,936425,0.1694331983805668,8.938249192407294,8.190725365085298,1.0912646675358542,4.386193418272849
ירושלים,2020-04-14,10967,1953,5767,1124,3000,936425,0.15942307692307692,8.852817897856209,8.681955308754038,1.0196801968019682,4.2396417906670125
ירושלים,2020-04-15,11646,2029,6101,1198,3000,936425,0.14986474301172228,8.87417572149398,8.265477747817497,1.0736434108527133,4.3439943900047195
ירושלים,2020-04-16,12827,2078,6610,1291,3000,936425,0.12658838668167927,8.404303601463011,7.2296233013855895,1.1624815361890695,4.445681407504234
ירושלים,2020-04-17,13479,2126,7497,1428,3000,936425,0.11668338348378468,7.453880449582187,7.357770243212216,1.0130624092888245,4.049275848936637
ירושלים,2020-04-18,14047,2175,8160,1573,3000,936425,0.10225921521997622,6.428704914969164,7.720853245054329,0.8326417704011064,3.5072519532527946
ירושלים,2020-04-19,14858,2282,9254,1742,3000,936425,0.09635974304068523,5.766612382198254,8.585845102384067,0.6716417910447762,2.9680695079384773
ירושלים,2020-04-20,15904,2368,10110,1854,3000,936425,0.0887124611667242,5.488960674907227,8.938249192407294,0.6140979689366786,2.738626372773749
ירושלים,2020-04-21,17142,2442,10967,1953,3000,936425,0.07919028340080972,5.221987879435086,8.852817897856209,0.5898673100120627,2.6070616033204916
ירושלים,2020-04-22,17997,2510,11646,2029,3000,936425,0.07573610455046449,5.136556584884,8.87417572149398,0.5788206979542718,2.5523248934165585
ירושלים,2020-04-23,18905,2560,12827,2078,3000,936425,0.0793024021059559,5.147235496702886,8.404303601463011,0.6124523506988564,2.667804305321603
ירושלים,2020-04-24,20185,2645,13479,2126,3000,936425,0.0773933790635252,5.542355234001655,7.453880449582187,0.7435530085959885,3.129463276097226
ירושלים,2020-04-25,20821,2692,14047,2175,3000,936425,0.07632122822556835,5.520997410363884,6.428704914969164,0.8588039867109635,3.4136695461772057
ירושלים,2020-04-26,21770,2706,14858,2282,3000,936425,0.061342592592592594,4.527858611207518,5.766612382198254,0.7851851851851852,3.034245570394671
ירושלים,2020-04-27,22355,2733,15904,2368,3000,936425,0.056580375135637885,3.8978028138932643,5.488960674907227,0.7101167315175098,2.6828337364704633
ירושלים,2020-04-28,22950,2790,17142,2442,3000,936425,0.05991735537190083,3.7162613129722084,5.221987879435086,0.7116564417177914,2.6398877895365307
ירושלים,2020-04-29,23575,2819,17997,2510,3000,936425,0.055396199354607385,3.2997837520356676,5.136556584884,0.6424116424116425,2.3157294751424042
ירושלים,2020-04-30,24061,2869,18905,2560,3000,936425,0.059930178432893715,3.2997837520356676,5.147235496702886,0.6410788381742738,2.3121425346375113
ירושלים,2020-05-01,24513,2929,20185,2645,3000,936425,0.06561922365988909,3.032810956563526,5.542355234001655,0.5472061657032755,1.911833010850691
ירושלים,2020-05-02,24716,2950,20821,2692,3000,936425,0.0662387676508344,2.755159249272499,5.520997410363884,0.4990328820116054,1.631588511445712
ירושלים,2020-05-03,24854,2955,21770,2706,3000,936425,0.08073929961089495,2.659049042902528,4.527858611207518,0.5872641509433962,1.9234998511229333
ירושלים,2020-05-04,25073,2959,22355,2733,3000,936425,0.08314937454010302,2.413434071068158,3.8978028138932643,0.6191780821917808,1.9327196222107514
ירושלים,2020-05-05,25374,2965,22950,2790,3000,936425,0.0721947194719472,1.8688095683049897,3.7162613129722084,0.5028735632183907,1.2594929618969506
ירושלים,2020-05-06,25783,2993,23575,2819,3000,936425,0.07880434782608696,1.8581306564861042,3.2997837520356676,0.5631067961165048,1.4808495470677212
ירושלים,2020-05-07,26055,3003,24061,2869,3000,936425,0.06720160481444333,1.430974183730678,3.2997837520356676,0.4336569579288026,0.6957527064004129
ירושלים,2020-05-08,26273,3010,24513,2929,3000,936425,0.04602272727272727,0.8649918573297382,3.032810956563526,0.2852112676056338,0
ירושלים,2020-05-09,26369,3012,24716,2950,3000,936425,0.03750756200846945,0.6620925327709106,2.755159249272499,0.24031007751937986,0
ירושלים,2020-05-10,26461,3013,24854,2955,3000,936425,0.03609209707529558,0.6193768854953681,2.659049042902528,0.23293172690763053,0
ירושלים,2020-05-11,26735,3019,25073,2959,3000,936425,0.036101083032490974,0.6407347091331393,2.413434071068158,0.26548672566371684,0
ירושלים,2020-05-12,26946,3024,25374,2965,3000,936425,0.037531806615776084,0.6300557973142537,1.8688095683049897,0.33714285714285713,0
ירושלים,2020-05-13,27507,3049,25783,2993,3000,936425,0.03248259860788863,0.5980190618575967,1.8581306564861042,0.32183908045977005,0
ירושלים,2020-05-14,27715,3052,26055,3003,3000,936425,0.029518072289156625,0.5232666791253971,1.430974183730678,0.3656716417910448,0
ירושלים,2020-05-15,27855,3055,26273,3010,3000,936425,0.028445006321112517,0.48055103184985454,0.8649918573297382,0.5555555555555556,0.095160445497585
ירושלים,2020-05-16,27891,3055,26369,3012,3000,936425,0.028252299605781867,0.45919320821208315,0.6620925327709106,0.6935483870967741,0.49337877418259074
ירושלים,2020-05-17,27995,3055,26461,3013,3000,936425,0.027379400260756193,0.44851429639319756,0.6193768854953681,0.7241379310344828,0.5560609185312249
